# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
K	_root_	CFBundleIdentifier	Bundle identifier	String
K	_root_	CFBundleExecutable	Executable file	String
K	_root_	CFBundleInfoDictionaryVersion	InfoDictionary version	InfoDictVersion
K	_root_	LSApplicationCategoryType	App Category	ApplicationCategory
K	_root_	CFBundleName	Bundle name	String
K	_root_	CFBundleDisplayName	Bundle display name	String
K	_root_	NSHumanReadableCopyright	Copyright (human-readable)	String
K	_root_	CFBundleVersion	Bundle version	String
K	_root_	CFBundleShortVersionString	Bundle version string (short)	String
K	_root_	CFBundleGetInfoString	Get Info string	String
K	_root_	CFBundlePackageType	Bundle OS Type code	String
K	_root_	CFBundleSignature	Bundle creator OS Type code	String
K	_root_	CFBundleIconFile	Icon file	String
K	_root_	CFBundleIconFiles	Icon files	StringArray
K	_root_	CFBundleIcons	Icon files (iOS 5)	CFBundleIcons
K	_root_	CFBundleIconName	Icon Name	String
K	_root_	NSMainStoryboardFile	Main storyboard file base name (macOS)	String
K	_root_	LSRequiresIPhoneOS	Application requires iPhone environment	Boolean
K	_root_	UIBackgroundModes	Required background modes	BackgroundModeArray
K	_root_	UIApplicationExitsOnSuspend	Application does not run in background	Boolean
K	_root_	UIStatusBarStyle	Status bar style	StatusBarStyles
K	_root_	UIStatusBarHidden	Status bar is initially hidden	Boolean
K	_root_	UIInterfaceOrientation	Initial interface orientation	InterfaceOrientations
K	_root_	UIPrerenderedIcon	Icon already includes gloss effects	Boolean
K	_root_	UIRequiredDeviceCapabilities	Required device capabilities	DeviceCapabilities
K	_root_	UIRequiresPersistentWiFi	Application uses Wi-Fi	Boolean
K	_root_	UISupportedExternalAccessoryProtocols	Supported external accessory protocols	StringArray
K	_root_	UISupportedInterfaceOrientations	Supported interface orientations	InterfaceOrientationArray
K	_root_	UISupportedInterfaceOrientations~ipad	Supported interface orientations (iPad)	InterfaceOrientationArray
K	_root_	UISupportedInterfaceOrientations~iphone	Supported interface orientations (iPhone)	InterfaceOrientationArray
K	_root_	UIViewEdgeAntialiasing	Renders with edge antialiasing	Boolean
K	_root_	UIViewGroupOpacity	Renders with group opacity	Boolean
K	_root_	UILaunchScreen	Launch Screen	UILaunchScreenDictionary
K	_root_	UILaunchScreens	Launch Screens	UILaunchScreensDictionary
K	_root_	UILaunchImageFile	Launch image	String
K	_root_	UILaunchImageFile~ipad	Launch image (iPad)	String
K	_root_	UILaunchImageFile~iphone	Launch image (iPhone)	String
K	_root_	UILaunchStoryboardName	Launch screen interface file base name	String
K	_root_	UIAppFonts	Fonts provided by application	StringArray
K	_root_	UIFileSharingEnabled	Application supports iTunes file sharing	Boolean
K	_root_	UINewsstandApp	Application presents content in Newsstand	Boolean
K	_root_	UIMainStoryboardFile	Main storyboard file base name	String
K	_root_	UIMainStoryboardFile~ipad	Main storyboard file base name (iPad)	String
